Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
113,Palestinian Territories,4.552800179,0.8389223099,0.825295925,0.6225,0.645791829,-0.162079096,0.824199975
33,Panama,6.304800034,1.003423405,0.902094483,0.6960301208,0.880366504,-0.153927714,0.851588905
63,Paraguay,5.692100048,0.9389982224000001,0.898727894,0.6563993834999999,0.885923445,0.007997713,0.834788501
59,Peru,5.796800137,0.9456313133,0.831075251,0.6810023499000001,0.824766099,-0.16238822,0.893714964
48,Philippines,6.006000042,0.8993545532,0.846730053,0.6192676163,0.915463448,-0.105463006,0.733634114
39,Poland,6.186299801,1.026512432,0.874257445,0.6931113433999999,0.862055779,-0.205084071,0.686927021
55,Portugal,5.910900116,1.026374245,0.886590719,0.7240202332,0.888747811,-0.220714301,0.892629504
43,Romania,6.123700142,1.0107583999999998,0.825161517,0.6720723724,0.842823207,-0.19781521,0.934300244
69,Russia,5.546000004,1.012887192,0.903150737,0.6410045624,0.729892612,-0.151153743,0.864802599
133,Rwanda,3.312299967,0.7600104332,0.54083544,0.6109884644,0.900589406,0.055483952,0.183541179
24,Saudi Arabia,6.406499863,1.079781246,0.874067068,0.6630514526,0.854191244,-0.168695062,0.682619512
93,Senegal,4.980800152,0.8118982315000001,0.723616004,0.5959915161,0.690596163,-0.052335154,0.808785141
60,Serbia,5.77820015,0.9680980682,0.881475747,0.6821020508,0.726495862,-0.073676221,0.843509018
124,Sierra Leone,3.926399946,0.726880312,0.636142015,0.5086514282,0.715315044,0.088660747,0.861330688
28,Singapore,6.377099991,1.139552116,0.910268962,0.7680458068999999,0.926645339,0.029879224,0.109784193
34,Slovakia,6.280600071,1.034774971,0.922493756,0.6890634154999999,0.749952674,-0.124409303,0.918096125
30,Slovenia,6.363399982,1.039232254,0.939575672,0.711029892,0.936142623,-0.080603383,0.817071021
100,South Africa,4.814099789,0.9403370857000001,0.852532268,0.5650601196,0.759330094,-0.109777324,0.843423843
57,South Korea,5.872399807,1.051056671,0.799387157,0.7360272980000001,0.612965107,-0.043404032,0.789067447
25,Spain,6.400899887,1.046292686,0.921125412,0.7440270995999999,0.751989543,-0.050961714,0.765859902
118,Sri Lanka,4.327000141,0.9389969826,0.825374067,0.6720006560999999,0.837633669,0.081129618,0.859001756
6,Sweden,7.353499889,1.075879383,0.926311195,0.7260076904,0.939144194,0.111614622,0.250880182
2,Switzerland,7.559899807,1.097993279,0.942846596,0.7410244751,0.921336651,0.105911039,0.303728431
67,Tajikistan,5.555699825,0.8024810791,0.835297108,0.6410459137,0.831383407,-0.025088511,0.592076063
132,Tanzania,3.476200104,0.7967665195,0.688933194,0.5749607468,0.82153976,0.109668687,0.619799435
50,Thailand,5.998799801,0.9741791725000001,0.889973223,0.6725059509000001,0.905063033,0.268685192,0.886272311
120,Togo,4.187200069,0.7357711315000001,0.551312625,0.5471989822,0.649828613,0.002667875,0.757733464
116,Tunisia,4.392199993,0.9314972878000001,0.688718557,0.6689785766999999,0.593361557,-0.216413811,0.867590249
85,Turkey,5.131800175,1.012941933,0.826313555,0.6690281677000001,0.608830452,-0.171046436,0.748197377
87,Turkmenistan,5.119100094,0.9748032569999999,0.958966196,0.6221170807,0.826457024,0.187671542,0.883691847
114,Uganda,4.43200016,0.7500389576,0.764994621,0.5570820236,0.731713951,0.099487431,0.836737812
111,Ukraine,4.56069994,0.9010690689,0.878879368,0.6460678101,0.663081884,-0.030933706,0.920636714
12,United Kingdom,7.164500237,1.060013485,0.93668282,0.7230160522,0.834743679,0.263732493,0.435915917
17,United States,6.939599991,1.0925768850000002,0.914219022,0.6829949951000001,0.842619538,0.149891734,0.699715316
23,Uruguay,6.440100193,0.9948192596000001,0.92281127,0.6900254821999999,0.892395437,-0.101103112,0.635994136
35,Uzbekistan,6.257599831,0.8740371704,0.926595807,0.6510757446,0.974998116,0.248427153,0.501497388
91,Venezuela,5.053199768,0.8977793694,0.890408158,0.6650534057999999,0.62327832,-0.169090509,0.837038398
77,Vietnam,5.353499889,0.8809545517,0.849987149,0.6795273589999999,0.939592957,-0.094533332,0.79642123
130,Yemen,3.527400017,0.7759682655,0.817980587,0.5672728348,0.599920273,-0.157735437,0.800287724
126,Zambia,3.759399891,0.8224720001,0.698824465,0.5529937744,0.806500256,0.078037128,0.801289678
134,Zimbabwe,3.299200058,0.7865711689,0.763092756,0.5561725998,0.711457908,-0.072063953,0.81023699
