,Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
0,132,Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719
1,83,Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413
2,61,Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383
3,27,Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
4,109,Armenia,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039
5,9,Australia,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
6,12,Austria,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
7,71,Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065
8,43,Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306
9,94,Bangladesh,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569
10,53,Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909
11,18,Belgium,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254
12,134,Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801
13,45,Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088
14,84,Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227
15,110,Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474
16,15,Brazil,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
17,116,Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872
18,131,Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832
19,135,Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062
20,125,Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247
21,115,Cameroon,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786
22,4,Canada,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
23,128,Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269
24,25,Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
25,75,China,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781
26,30,Colombia,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512
27,120,Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686
28,11,Costa Rica,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583
29,56,Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243
30,60,Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146
31,28,Czech Republic,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652
32,2,Denmark,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357
33,85,Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234
34,42,Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809
35,117,Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324
36,36,El Salvador,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776
37,65,Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184
38,105,Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048
39,5,Finland,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372
40,26,France,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646
41,123,Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091
42,112,Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331
43,24,Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843
44,99,Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355
45,87,Greece,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397
46,37,Guatemala,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472
47,129,Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139
48,103,Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175
49,90,Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825
50,89,Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758
51,1,Iceland,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145
52,102,India,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492
53,66,Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0
54,95,Iran,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863
55,97,Iraq,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788
56,17,Ireland,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703
57,10,Israel,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785
58,44,Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901
59,130,Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922
60,59,Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299
61,40,Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806
62,73,Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293
63,48,Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454
64,108,Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839
65,62,Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741
66,35,Kuwait,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609
67,69,Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232
68,80,Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332
69,88,Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582
70,101,Liberia,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232
71,57,Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023
72,50,Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031
73,16,Luxembourg,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798
74,127,Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124
75,113,Malawi,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977
76,55,Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501
77,119,Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352
78,34,Malta,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586
79,107,Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461
80,64,Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521
81,13,Mexico,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312
82,46,Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615
83,86,Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666
84,74,Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296
85,82,Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546
86,111,Myanmar,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034
87,104,Nepal,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907
88,6,Netherlands,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814
89,8,New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922
90,51,Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317
91,124,Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639
92,70,Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403
93,3,Norway,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503
94,72,Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464
95,93,Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905
