,Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
96,23,Panama,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927
97,47,Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242
98,52,Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989
99,81,Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279
100,54,Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212
101,79,Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078
102,77,Romania,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649
103,58,Russia,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005
104,133,Rwanda,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191
105,32,Saudi Arabia,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524
106,122,Senegal,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713
107,78,Serbia,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617
108,106,Sierra Leone,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786
109,22,Singapore,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921
110,39,Slovakia,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431
111,49,Slovenia,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787
112,98,South Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884
113,41,South Korea,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857
114,33,Spain,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398
115,114,Sri Lanka,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179
116,7,Sweden,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844
117,0,Switzerland,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978
118,91,Tajikistan,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072
119,126,Tanzania,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747
120,31,Thailand,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187
121,136,Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731
122,92,Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358
123,68,Turkey,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746
124,63,Turkmenistan,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844
125,121,Uganda,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267
126,96,Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961
127,19,United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583
128,20,United Kingdom,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067
129,14,United States,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589
130,29,Uruguay,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558
131,38,Uzbekistan,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826
132,21,Venezuela,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069
133,67,Vietnam,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441
134,118,Yemen,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854
135,76,Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468
136,100,Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079
