Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
45,Serbia,6.078,0.9787000000000001,0.873,0.6859999999999999,0.778,0.002,0.835
125,Sierra Leone,3.849,0.7434000000000001,0.63,0.51651,0.717,0.084,0.866
29,Singapore,6.377,1.1488,0.915,0.76953,0.927,-0.018,0.082
31,Slovakia,6.331,1.0369,0.936,0.6920099999999999,0.766,-0.124,0.911
26,Slovenia,6.461,1.0529,0.948,0.7140000000000001,0.949,-0.101,0.806
94,South Africa,4.956,0.9403,0.86,0.56904,0.749,-0.067,0.86
59,South Korea,5.845,1.0651,0.799,0.7390000000000001,0.672,-0.083,0.727
24,Spain,6.491,1.0571,0.932,0.747,0.761,-0.081,0.745
118,Sri Lanka,4.325,0.9470000000000001,0.827,0.6729900000000001,0.841,0.079,0.863
6,Sweden,7.363,1.0867,0.934,0.727,0.945,0.086,0.237
2,Switzerland,7.571,1.1117000000000001,0.942,0.7440000000000001,0.919,0.025,0.292
73,Tajikistan,5.466,0.8090999999999999,0.86,0.6428100000000001,0.832,-0.056,0.553
129,Tanzania,3.623,0.7876000000000001,0.702,0.57999,0.833,0.183,0.577
51,Thailand,5.985,0.9804999999999999,0.888,0.67401,0.884,0.287,0.895
123,Togo,4.107,0.7362,0.569,0.54914,0.619,0.032,0.772
112,Tunisia,4.596,0.9266,0.691,0.6720099999999999,0.656,-0.201,0.87
95,Turkey,4.948,1.024,0.822,0.67199,0.576,-0.139,0.776
90,Turkmenistan,5.066,0.9629,0.983,0.62409,0.877,0.273,0.888
109,Uganda,4.636,0.7676999999999999,0.781,0.56101,0.709,0.122,0.855
101,Ukraine,4.875,0.9436,0.888,0.64902,0.724,-0.011,0.924
16,United Kingdom,7.064,1.0707,0.934,0.725,0.859,0.233,0.459
18,United States,6.951,1.1023,0.92,0.682,0.837,0.098,0.698
28,Uruguay,6.431,0.9965999999999999,0.925,0.691,0.896,-0.092,0.59
39,Uzbekistan,6.179,0.8836,0.918,0.65255,0.97,0.311,0.515
98,Venezuela,4.892,0.9073,0.861,0.667,0.615,-0.169,0.827
74,Vietnam,5.411,0.8973000000000001,0.85,0.6803400000000001,0.94,-0.098,0.796
128,Yemen,3.658,0.7578,0.832,0.57122,0.602,-0.147,0.8
124,Zambia,4.073,0.8145,0.708,0.55809,0.782,0.061,0.823
134,Zimbabwe,3.145,0.7943,0.75,0.56201,0.677,-0.047,0.821
