Year,Score,Economy,Family,Health,Freedom,Generosity,Trust
2015,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558
2016,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394
2017,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718
2018,6.379,1.093,1.459,0.771,0.625,0.13,0.155
2019,6.293,1.124,1.465,0.891,0.523,0.127,0.15
2020,6.440100193,0.9948192596000001,0.92281127,0.6900254821999999,0.892395437,-0.101103112,0.635994136
2021,6.431,0.9965999999999999,0.925,0.691,0.896,-0.092,0.59
