Year,Score,Economy,Family,Health,Freedom,Generosity,Trust
2015,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306
2016,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772
2017,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923
2018,6.105,1.338,1.366,0.698,0.594,0.243,0.123
2019,6.199,1.362,1.368,0.871,0.536,0.255,0.11
2020,6.227300167,1.067638016,0.876342118,0.685,0.905855775,0.13372919,0.7393471
2021,6.647,1.0669,0.862,0.6949500000000001,0.925,0.089,0.722
